id,first_name,last_name,dynasty,ship_id,status,home_planet,is_visible
1,Jessika,Ignatiev,Tenacity,polaris,Present and accounted for,Ellarion,FALSE
2,Demetria,Ilbert,Excellence,halo,Present and accounted for,Ellarion,FALSE
,Arkhip,Popov,Purity,polaris,Present and accounted for,Ellarion,FALSE
,Roksana,Wilkins,None,cyclone,Present and accounted for,Caelena,FALSE
,Myla,Abbey,None,immortal,Present and accounted for,Osiris,FALSE
,Lesley,Wardrobe,Loyalty,whirlwind,Present and accounted for,Caelena,FALSE
,Don,Ruggles,Purity,halo,Present and accounted for,Ellarion,FALSE
,Westley,Nikolaev,Hope,polaris,Present and accounted for,Ellarion,FALSE
,Nowell,Radclyffe,Purity,spectrum,Present and accounted for,Ellarion,FALSE
,Dahlia,Church,Mercy,spectrum,Present and accounted for,Ellarion,FALSE
,Katy,Averill,Generosity,immortal,Present and accounted for,Osiris,FALSE
,Irene,Maki,Ambition,cyclone,Present and accounted for,Ellarion,FALSE
,Bysshe,Russel,Hope,immortal,Present and accounted for,Osiris,FALSE
,Anatoli,Rowland,Excellence,aurora,Present and accounted for,Ellarion,FALSE
,Ettie,Medved,Purity,valor,Present and accounted for,Ellarion,FALSE
,Marmaduke,Wade,Mercy,spectrum,Present and accounted for,Ellarion,FALSE
,Macy,Newport,Purity,halo,Present and accounted for,Ellarion,FALSE
,Ania,Matthews,Strength,warrior,Present and accounted for,Ellarion,FALSE
,Ryann,Grant,Hope,cyclone,Present and accounted for,Caelena,FALSE
,Ashlyn,Myers,Ambition,whirlwind,Present and accounted for,Osiris,FALSE
,Vanya,Jewell,Purity,aurora,Present and accounted for,Ellarion,FALSE
,Janna,Banks,Generosity,cyclone,Present and accounted for,Ellarion,FALSE
,Annalise,Botterill,None,immortal,Present and accounted for,Ellarion,FALSE
,Mariya,Maksimov,Loyalty,valkyrie,Present and accounted for,Ellarion,FALSE
,Zachary,Ayers,Generosity,harbinger,Present and accounted for,Ellarion,FALSE
,Annette,Newell,Mercy,immortal,Present and accounted for,Ellarion,FALSE
,Nathan,Archer,Loyalty,centurion,Present and accounted for,Ellarion,FALSE
,Xavia,Cason,None,spectrum,Present and accounted for,Ellarion,FALSE
,Miu,Colbert,Tenacity,aurora,Present and accounted for,Ellarion,FALSE
,Lilibet,Milburn,Tranquility,starfall,Present and accounted for,Osiris,FALSE
,Kevyn,Geary,Purity,spectrum,Present and accounted for,Ellarion,FALSE
,Roscoe,Ibbot,Hope,discovery,Present and accounted for,Caelena,FALSE
,Melvin,Longstaff,Intelligence,polaris,Present and accounted for,Ellarion,FALSE
,Deidre,Power,Intelligence,valkyrie,Present and accounted for,Caelena,FALSE
,Johnie,Bradford,Tenacity,halo,Present and accounted for,Ellarion,FALSE
,Gleb,Lowry,Intelligence,polaris,Present and accounted for,Ellarion,FALSE
,Carrie,Abel,Loyalty,spectrum,Present and accounted for,Ellarion,FALSE
,Alexandrina,Hathaway,Hope,spectrum,Present and accounted for,Ellarion,FALSE
,Anisim,Perry,Ambition,starfall,Present and accounted for,Osiris,FALSE
,York,Tyler,Purity,spectrum,Present and accounted for,Ellarion,FALSE
,Kinsley,Freeman,Purity,aurora,Present and accounted for,Caelena,FALSE
,Jolie,Banks,Hope,centurion,Present and accounted for,Caelena,FALSE
,Raymond,Bellamy,Mercy,harbinger,Present and accounted for,Osiris,FALSE
,Demetria,Gibson,Tranquility,spectrum,Present and accounted for,Ellarion,FALSE
,Jami,Tate,Hope,starfall,Present and accounted for,Osiris,FALSE
,Hiram,Bishop,Confidence,spectrum,Present and accounted for,Ellarion,FALSE
,Laurence,Andreev,Ambition,cyclone,Present and accounted for,Caelena,FALSE
,Colene,Romilly,Defiance,immortal,Present and accounted for,Osiris,FALSE
,Cyan,Paxton,Tenacity,spectrum,Present and accounted for,Caelena,FALSE
,Illarion,Bush,Strength,spectrum,Present and accounted for,Caelena,FALSE
,Georgina,Bourne,Purity,spectrum,Present and accounted for,Ellarion,FALSE
,Zelma,Hewitt,Hope,warrior,Present and accounted for,Ellarion,FALSE
,Gill,Goddard,Purity,spectrum,Present and accounted for,Caelena,FALSE
,Ava,Underhill,Defiance,aurora,Present and accounted for,Ellarion,FALSE
,Jazmin,North,Confidence,polaris,Present and accounted for,Caelena,FALSE
,Cooper,Groves,Tranquility,spectrum,Present and accounted for,Ellarion,FALSE
,Clive,Ely,Hope,polaris,Present and accounted for,Caelena,FALSE
,Foster,Whitney,Defiance,whirlwind,Present and accounted for,Osiris,FALSE
,Tristan,Parent,Generosity,polaris,Present and accounted for,Caelena,FALSE
,Christabelle,Joseph,Strength,ravager,Present and accounted for,Osiris,FALSE
,Frankie,Ecclestone,Strength,immortal,Present and accounted for,Osiris,FALSE
,Stanley,Sobol,Loyalty,halo,Present and accounted for,Caelena,FALSE
,Lucian,Petit,Mercy,polaris,Present and accounted for,Ellarion,FALSE
,Bevis,Savege,Defiance,spectrum,Present and accounted for,Caelena,FALSE
,Beckett,Warner,Tenacity,spectrum,Present and accounted for,Ellarion,FALSE
,Anushka,Lyon,None,polaris,Present and accounted for,Ellarion,FALSE
,Micheal,Ness,Confidence,discovery,Present and accounted for,Ellarion,FALSE
,Lennox,Wickham,Purity,halo,Present and accounted for,Ellarion,FALSE
,Bart,Terrell,Tranquility,spectrum,Present and accounted for,Ellarion,FALSE
,Randy,Sexton,Hope,polaris,Present and accounted for,Ellarion,FALSE
,Tamra,Holme,Excellence,polaris,Present and accounted for,Ellarion,FALSE
,Sheelagh,Fukui,Excellence,polaris,Present and accounted for,Ellarion,FALSE
,Elvin,Murgatroyd,Purity,polaris,Present and accounted for,Ellarion,FALSE
,Irvin,Ayers,Ambition,immortal,Present and accounted for,Ellarion,FALSE
,Ariana,Sessions,Mercy,starfall,Present and accounted for,Ellarion,FALSE
,Elsie,Harman,Strength,spectrum,Present and accounted for,Caelena,FALSE
,Mio,Jewell,Loyalty,polaris,Present and accounted for,Ellarion,FALSE
,Dorine,Holland,Ambition,spectrum,Present and accounted for,Ellarion,FALSE
,Wilhelmina,Yoshida,None,ravager,Present and accounted for,Caelena,FALSE
,Johanna,Seabrooke,Hope,spectrum,Present and accounted for,Ellarion,FALSE
,Gavriil,Cockburn,Generosity,polaris,Present and accounted for,Ellarion,FALSE
,Baxter,Nicolson,Strength,spectrum,Present and accounted for,Ellarion,FALSE
,Symphony,Dwight,Justice,spectrum,Present and accounted for,Ellarion,FALSE
,Salena,Constable,Purity,immortal,Present and accounted for,Osiris,FALSE
,Kiaran,Coombs,Tranquility,spectrum,Present and accounted for,Ellarion,FALSE
,Eve,Tolbert,Hope,aurora,Present and accounted for,Osiris,FALSE
,Denis,Eaton,Loyalty,spectrum,Present and accounted for,Osiris,FALSE
,Vladimir,Sharrow,Strength,polaris,Present and accounted for,Caelena,FALSE
,Ford,Salmon,Logic,valkyrie,Present and accounted for,Ellarion,FALSE
,Lyndon,Rey,Industry,spectrum,Present and accounted for,Ellarion,FALSE
,Shouta,Voronin,Strength,taurus,Present and accounted for,Caelena,FALSE
,Cash,Wilbur,Confidence,immortal,Present and accounted for,Osiris,FALSE
,Bysshe,Bellamy,Purity,bluecoat,Present and accounted for,Ellarion,FALSE
,Roland,Hayter,Justice,whirlwind,Present and accounted for,Caelena,FALSE
,Ashley,Holmes,Strength,spectrum,Present and accounted for,Ellarion,FALSE
,Cristen,Ignatiev,None,polaris,Present and accounted for,Ellarion,FALSE
,Laney,Becket,Ambition,arthas,Present and accounted for,Ellarion,FALSE
,Adella,Garrod,Strength,warrior,Present and accounted for,Osiris,FALSE
,Lina,Baldwin,Mercy,spectrum,Present and accounted for,Ellarion,FALSE
,Ozzie,Denzil,Purity,polaris,Present and accounted for,Osiris,FALSE
,Ethelyn,Mercer,Mercy,halo,Present and accounted for,Ellarion,FALSE
,Daniella,Mercer,Generosity,spectrum,Present and accounted for,Caelena,FALSE
,Abbie,Dyson,Hope,harbinger,Present and accounted for,Osiris,FALSE
,Nastasya,Hibbert,Purity,spectrum,Present and accounted for,Ellarion,FALSE
,Savannah,Alvin,Justice,vulture,Present and accounted for,Ellarion,FALSE
,Dene,Miller,Tenacity,polaris,Present and accounted for,Ellarion,FALSE
,Darya,Barlow,Excellence,polaris,Present and accounted for,Ellarion,FALSE
,Missy,Graves,Confidence,whirlwind,Present and accounted for,Osiris,FALSE
,Warrick,Batts,Purity,polaris,Present and accounted for,Ellarion,FALSE
,Montague,Foster,Tranquility,spectrum,Present and accounted for,Ellarion,FALSE
,Easter,Dustin,Intelligence,centurion,Present and accounted for,Caelena,FALSE
,Ashlyn,Peyton,Tranquility,centurion,Present and accounted for,Caelena,FALSE
,Avgust,Brandon,None,spectrum,Present and accounted for,Caelena,FALSE
,Rita,Cobb,Hope,aurora,Present and accounted for,Ellarion,FALSE
,Peony,Ross,None,halo,Present and accounted for,Ellarion,FALSE
,Trisha,Sniders,Purity,centurion,Present and accounted for,Caelena,FALSE
,Emmeline,Oliver,Ambition,polaris,Present and accounted for,Caelena,FALSE
,Layla,Samuels,Purity,centurion,Present and accounted for,Ellarion,FALSE
,Norton,Ruskin,Logic,polaris,Present and accounted for,Caelena,FALSE
,Vasili,Wolfe,None,aurora,Present and accounted for,Ellarion,FALSE
,Clive,Averill,Unity,polaris,Present and accounted for,Ellarion,FALSE
,Willie,Wright,Intelligence,spectrum,Present and accounted for,Ellarion,FALSE
,Esmond,Holt,Mercy,polaris,Present and accounted for,Ellarion,FALSE
,Yumi,Mikhailov,Purity,cyclone,Present and accounted for,Caelena,FALSE
,Cyndi,Tachibana,Purity,inferno,Present and accounted for,Ellarion,FALSE
,Lizbeth,Spooner,None,aurora,Present and accounted for,Caelena,FALSE
,Treasure,Lum,Defiance,halo,Present and accounted for,Ellarion,FALSE
,Yakov,Carl,Purity,spectrum,Present and accounted for,Caelena,FALSE
,Everitt,Stacks,Purity,starfall,Present and accounted for,Osiris,FALSE
,Suellen,Madison,Fairness,spectrum,Present and accounted for,Ellarion,FALSE
